,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
0,-47.0,-27.0,-52.0,-54.0,-15,15.0,None,ID,None
0,-64.0,-42.0,-48.0,-61.0,-55,21.0,None,IQ,None
0,-83.0,-37.0,-59.0,-78.0,-52,19.0,None,IE,None
1,-83.0,-35.0,-52.0,-64.0,-48,9.0,None,IE,County Carlow
2,-81.0,-39.0,-41.0,-57.0,-45,21.0,None,IE,County Cavan
3,-78.0,-30.0,-54.0,-74.0,-49,25.0,None,IE,County Clare
4,-81.0,-40.0,-54.0,-73.0,-51,19.0,None,IE,County Cork
5,-81.0,-39.0,-49.0,-56.0,-47,21.0,None,IE,County Donegal
6,-85.0,-35.0,-64.0,-82.0,-58,21.0,None,IE,County Dublin
7,-82.0,-36.0,-60.0,-68.0,-51,21.0,None,IE,County Galway
8,-83.0,-44.0,-54.0,-76.0,-53,22.0,None,IE,County Kerry
9,-84.0,-36.0,-66.0,-71.0,-51,21.0,None,IE,County Kildare
10,-82.0,-37.0,-65.0,-77.0,-47,23.0,None,IE,County Kilkenny
11,-79.0,-40.0,,-77.0,-48,22.0,None,IE,County Laois
12,-93.0,-41.0,,,-50,,None,IE,County Leitrim
13,-82.0,-35.0,-57.0,-74.0,-46,21.0,None,IE,County Limerick
14,-77.0,-40.0,,,-45,,None,IE,County Longford
15,-84.0,-39.0,-67.0,-84.0,-49,24.0,None,IE,County Louth
16,-85.0,-44.0,-31.0,-78.0,-47,22.0,None,IE,County Mayo
17,-80.0,-33.0,-54.0,-59.0,-49,21.0,None,IE,County Meath
18,-80.0,-43.0,,-58.0,-49,18.0,None,IE,County Monaghan
19,-79.0,-38.0,-40.0,-65.0,-47,22.0,None,IE,County Offaly
20,-86.0,-38.0,,,-43,18.0,None,IE,County Roscommon
21,-89.0,-44.0,-48.0,-69.0,-44,9.0,None,IE,County Sligo
22,-80.0,-36.0,-61.0,-73.0,-46,21.0,None,IE,County Tipperary
23,-87.0,-45.0,-75.0,-77.0,-46,20.0,None,IE,County Waterford
24,-85.0,-48.0,-45.0,-75.0,-52,24.0,None,IE,County Westmeath
25,-83.0,-42.0,-70.0,-71.0,-52,22.0,None,IE,County Wexford
26,-89.0,-40.0,-79.0,-76.0,-53,27.0,None,IE,County Wicklow
